"Key","Adv","ObDate","NE","SE","SW","NW"
"AL022016",6,2016-05-29 03:00:00,1,1,1,1
"AL022016",5,2016-05-28 21:00:00,1,1,1,1
"AL022016",3,2016-05-28 09:00:00,1,1,1,1
"AL022016",2,2016-05-28 03:00:00,1,1,1,1
"AL022016",1,2016-05-27 21:00:00,1,1,1,1
"AL012016",9,2016-01-15 21:00:00,1,1,1,1
"AL012016",8,2016-01-15 15:00:00,1,1,1,1
"AL012016",7,2016-01-15 09:00:00,1,1,1,1
"AL012016",6,2016-01-15 03:00:00,1,1,1,1
"AL012016",5,2016-01-14 21:00:00,1,1,1,1
"AL012016",4,2016-01-14 15:00:00,1,1,1,1
"AL012016",3,2016-01-14 09:00:00,1,1,1,1
"AL012016",2,2016-01-14 03:00:00,1,1,1,1
"AL012016",1,2016-01-13 21:00:00,1,1,1,1
