"Key","Adv","ObDate","WindField","NE","SE","SW","NW"
"AL102016",7,2016-09-14 03:00:00,"34","200","140","0","120"
"AL102016",6,2016-09-13 21:00:00,"34","200","140","0","120"
"AL102016",5,2016-09-13 15:00:00,"34","200","140","0","120"
"AL102016",4,2016-09-13 09:00:00,"34","200","140","0","120"
"AL102016",3,2016-09-13 03:00:00,"34","200","140","0","120"
"AL102016",2,2016-09-12 21:00:00,"34","150","0","0","120"
"AL102016",1,2016-09-12 15:00:00,"34","120","0","0","120"
"AL092016",38,2016-09-06 18:00:00,"34","70","100","100","70"
"AL092016",37,2016-09-06 15:00:00,"50","60","0","0","60"
"AL092016",37,2016-09-06 15:00:00,"34","100","120","120","100"
"AL092016",36,2016-09-06 09:00:00,"50","80","0","0","80"
"AL092016",36,2016-09-06 09:00:00,"34","120","120","120","120"
"AL092016",35,2016-09-06 03:00:00,"50","100","0","60","100"
"AL092016",35,2016-09-06 03:00:00,"34","150","150","150","150"
"AL092016",34,2016-09-05 21:00:00,"50","140","0","0","140"
"AL092016",34,2016-09-05 21:00:00,"34","200","150","150","180"
"AL092016",33,2016-09-05 15:00:00,"50","140","0","0","140"
"AL092016",33,2016-09-05 15:00:00,"34","200","150","150","200"
"AL092016",32,2016-09-05 09:00:00,"50","140","0","0","140"
"AL092016",32,2016-09-05 09:00:00,"34","200","150","150","200"
"AL092016",31,2016-09-05 03:00:00,"50","140","0","0","140"
"AL092016",31,2016-09-05 03:00:00,"34","200","150","150","200"
"AL092016",30,2016-09-04 21:00:00,"50","160","0","0","100"
"AL092016",30,2016-09-04 21:00:00,"34","200","180","170","200"
"AL092016",29,2016-09-04 15:00:00,"50","160","0","0","70"
"AL092016",29,2016-09-04 15:00:00,"34","180","180","170","150"
"AL092016",28,2016-09-04 09:00:00,"50","90","0","0","70"
"AL092016",28,2016-09-04 09:00:00,"34","180","180","170","150"
"AL092016",27,2016-09-04 03:00:00,"50","70","50","90","90"
"AL092016",27,2016-09-04 03:00:00,"34","180","160","120","140"
"AL092016",26,2016-09-03 21:00:00,"50","70","50","90","90"
"AL092016",26,2016-09-03 21:00:00,"34","180","160","120","160"
"AL092016",25,2016-09-03 15:00:00,"50","70","30","0","60"
"AL092016",25,2016-09-03 15:00:00,"34","180","160","30","120"
"AL092016",24,2016-09-03 09:00:00,"50","0","100","0","0"
"AL092016",24,2016-09-03 09:00:00,"34","120","160","0","0"
"AL092016",23,2016-09-03 03:00:00,"34","140","160","0","0"
"AL092016",22,2016-09-02 21:00:00,"34","140","160","20","20"
"AL092016",21,2016-09-02 15:00:00,"34","120","150","30","30"
"AL092016",20,2016-09-02 09:00:00,"50","60","100","30","20"
"AL092016",20,2016-09-02 09:00:00,"34","120","150","60","60"
"AL092016",19,2016-09-02 03:00:00,"64","40","40","30","0"
"AL092016",19,2016-09-02 03:00:00,"50","70","90","60","40"
"AL092016",19,2016-09-02 03:00:00,"34","90","150","80","60"
"AL092016",18,2016-09-01 21:00:00,"64","40","40","0","0"
"AL092016",18,2016-09-01 21:00:00,"50","100","120","30","30"
"AL092016",18,2016-09-01 21:00:00,"34","150","160","60","60"
"AL092016",17,2016-09-01 17:00:00,"50","100","120","30","30"
"AL092016",17,2016-09-01 17:00:00,"34","150","160","60","60"
"AL092016",16,2016-09-01 15:00:00,"50","60","60","0","0"
"AL092016",16,2016-09-01 15:00:00,"34","120","120","60","40"
"AL092016",15,2016-09-01 09:00:00,"50","20","20","0","0"
"AL092016",15,2016-09-01 09:00:00,"34","120","120","60","0"
"AL092016",14,2016-09-01 03:00:00,"50","20","20","0","0"
"AL092016",14,2016-09-01 03:00:00,"34","110","110","90","0"
"AL092016",13,2016-08-31 21:00:00,"34","110","110","0","0"
"AL072016",47,2016-09-03 09:00:00,"",NA,NA,NA,NA
"AL072016",46,2016-09-03 03:00:00,"34","0","90","0","0"
"AL072016",45,2016-09-02 21:00:00,"34","100","130","110","0"
"AL072016",44,2016-09-02 15:00:00,"50","60","90","0","0"
"AL072016",44,2016-09-02 15:00:00,"34","100","130","110","60"
"AL072016",43,2016-09-02 09:00:00,"50","60","90","60","40"
"AL072016",43,2016-09-02 09:00:00,"34","100","130","110","70"
"AL072016",42,2016-09-02 03:00:00,"64","30","60","40","0"
"AL072016",42,2016-09-02 03:00:00,"50","60","90","60","40"
"AL072016",42,2016-09-02 03:00:00,"34","120","150","130","90"
"AL072016",41,2016-09-01 21:00:00,"64","40","70","40","20"
