"Key","Adv","ObDate","FcstDate","Lat","Lon","Wind","Gust"
"AL142016",39,2016-10-07 21:00:00,2016-10-11 18:00:00,27,-76,35,45
"AL142016",39,2016-10-07 21:00:00,2016-10-12 18:00:00,26,-77,30,40
"AL142016",38,2016-10-07 15:00:00,2016-10-08 00:00:00,30.8,-80.7,100,120
"AL142016",38,2016-10-07 15:00:00,2016-10-08 12:00:00,32.5,-79.9,85,105
"AL142016",38,2016-10-07 15:00:00,2016-10-09 00:00:00,33.5,-78.1,75,90
"AL142016",38,2016-10-07 15:00:00,2016-10-09 12:00:00,33.5,-76,60,75
"AL142016",38,2016-10-07 15:00:00,2016-10-10 12:00:00,32,-74,50,60
"AL142016",38,2016-10-07 15:00:00,2016-10-11 12:00:00,28,-75,35,45
"AL142016",38,2016-10-07 15:00:00,2016-10-12 12:00:00,27,-76,30,40
"AL142016",37,2016-10-07 09:00:00,2016-10-07 18:00:00,29.6,-80.6,100,120
"AL142016",37,2016-10-07 09:00:00,2016-10-08 06:00:00,31.5,-80.5,90,110
"AL142016",37,2016-10-07 09:00:00,2016-10-08 18:00:00,32.6,-79.2,80,100
"AL142016",37,2016-10-07 09:00:00,2016-10-09 06:00:00,33.1,-77.7,65,80
"AL142016",37,2016-10-07 09:00:00,2016-10-10 06:00:00,31.5,-74.5,50,60
"AL142016",37,2016-10-07 09:00:00,2016-10-11 06:00:00,29,-75,40,50
"AL142016",37,2016-10-07 09:00:00,2016-10-12 06:00:00,27,-76.5,35,45
"AL142016",36,2016-10-07 03:00:00,2016-10-07 12:00:00,28.5,-80.2,110,135
"AL142016",36,2016-10-07 03:00:00,2016-10-08 00:00:00,30.3,-80.8,105,130
"AL142016",36,2016-10-07 03:00:00,2016-10-08 12:00:00,31.8,-80.2,90,110
"AL142016",36,2016-10-07 03:00:00,2016-10-09 00:00:00,32.6,-78.7,75,90
"AL142016",36,2016-10-07 03:00:00,2016-10-10 00:00:00,31.5,-75.5,60,75
"AL142016",36,2016-10-07 03:00:00,2016-10-11 00:00:00,29,-75.5,50,60
"AL142016",36,2016-10-07 03:00:00,2016-10-12 00:00:00,27,-77,40,50
